Geo Point;Geo Shape;gml_id;id;nom;code_insee;nom_com;longitude;latitude
48.296024100955265, -1.4330461653206235;"{""coordinates"": [-1.433046165320623, 48.296024100955265], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D353061;D353061;MEZIERES-SUR-COUESNON Centre;35178;Mézières-sur-Couesnon;-1.433047;48.29603
48.45592251244483, -2.0282525227118553;"{""coordinates"": [-2.028252522711855, 48.45592251244483], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500427;D221500427;La Poste;22118;Lanvallay;-2.028156;48.455982
48.50842460263527, -2.6320023467156886;"{""coordinates"": [-2.632002346715689, 48.50842460263527], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500269;D221500269;Licantois;22081;Hillion;-2.6320026;48.50847
47.80517875800317, -4.1871422426539935;"{""coordinates"": [-4.187142242653993, 47.80517875800317], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29502643;D29502643;Kerizur;29135;Loctudy;-4.18724;47.8053
47.80099102970072, -2.1700510984108043;"{""coordinates"": [-2.170051098410804, 47.80099102970072], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000014;D562000014;La Danais;56033;Carentoir;-2.1700683;47.801113
47.88957287746376, -4.012632104286091;"{""coordinates"": [-4.012632104286091, 47.88957287746376], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29501336;D29501336;Square de Bréhoulou;29058;Fouesnant;-4.012559;47.889687
48.65112659885045, -2.021086243600046;"{""coordinates"": [-2.021086243600046, 48.65112659885045], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501157;D221501157;ST MALO Sillon casino;35288;Saint-Malo;-2.0210862;48.651127
48.54607045204981, -2.2138334015000587;"{""coordinates"": [-2.213833401500059, 48.54607045204981], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500134;D221500134;Mairie;22049;Créhen;-2.2138333;48.54607
48.59377106584354, -2.2476855599969663;"{""coordinates"": [-2.247685559996966, 48.59377106584354], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501080;D221501080;ST CAST Le Poteau;22282;Saint-Cast-le-Guildo;-2.2480106;48.59347
48.42104528214457, -2.658786554830369;"{""coordinates"": [-2.658786554830369, 48.42104528214457], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500897;D221500897;Centre;22258;Quessoy;-2.6585271;48.421093
47.68800111094129, -2.616209667680585;"{""coordinates"": [-2.616209667680585, 47.68800111094129], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000461;D562000461;Le Roscoët;56255;Treffléan;-2.6160927;47.688087
48.19802532345043, -2.0446560354279595;"{""coordinates"": [-2.044656035427959, 48.19802532345043], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500501;D221500501;Rue de Rennes;35184;Montauban-de-Bretagne;-2.0449955;48.198067
48.395438194924374, -4.524161364237498;"{""coordinates"": [-4.524161364237498, 48.395438194924374], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500311;D29500311;Amiral Ronarc'h;29019;Brest;-4.52446;48.39546
48.236896010147866, -3.443443229100044;"{""coordinates"": [-3.443443229100044, 48.236896010147866], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500847;D221500847;Centre;22163;Paule;-3.4434433;48.236897
47.695440208730794, -2.9565362172190572;"{""coordinates"": [-2.956536217219057, 47.695440208730794], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000083;D562000083;Ste-Anne-D'Auray/Kerdeliau;56263;Sainte-Anne-d'Auray;-2.9565232;47.69544
48.061877975925746, -2.9663372064562386;"{""coordinates"": [-2.966337206456239, 48.061877975925746], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.DREGLRRNS:PON9D2;DREGLRRNS:PON9D2;Gare SNCF;56178;Pontivy;-2.9661589;48.06194
48.02396988255406, -1.7617660247153037;"{""coordinates"": [-1.761766024715304, 48.02396988255406], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D351319;D351319;Bruz/Rabine;35047;Bruz;-1.761905;48.023804
48.56590927421749, -3.174735296758489;"{""coordinates"": [-3.174735296758489, 48.56590927421749], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500222;D221500222;St-Jean;22067;Grâces;-3.1746972;48.565796
48.6043322937502, -4.550220086499945;"{""coordinates"": [-4.550220086499945, 48.6043322937502], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504206;D29504206;Port de Perros;29195;Plouguerneau;-4.55022;48.604332
48.3843906590488, -4.76212722769996;"{""coordinates"": [-4.76212722769996, 48.3843906590488], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504420;D29504420;276 Illien;29201;Ploumoguer;-4.7621274;48.38439
48.04925649234972, -1.8664398679270082;"{""coordinates"": [-1.866439867927008, 48.04925649234972], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35B/MCULT1;D35B/MCULT1;Bréal/Centre Culturel;35037;Bréal-sous-Montfort;-1.86642;48.0493
48.24592949821827, -4.317062405401455;"{""coordinates"": [-4.317062405401455, 48.24592949821827], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500000;D29500000;Bourg;29001;Argol;-4.3167605;48.246128
48.33827914579213, -3.6396218222495893;"{""coordinates"": [-3.639621822249589, 48.33827914579213], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29505051;D29505051;Bourg;29227;Poullaouen;-3.6397855;48.338463
48.48467026086388, -2.643475420699639;"{""coordinates"": [-2.643475420699639, 48.48467026086388], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500261;D221500261;ST RENÉ Château Rouge;22081;Hillion;-2.6434505;48.484722
48.2076144563717, -1.5189083343772212;"{""coordinates"": [-1.518908334377221, 48.2076144563717], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D352971;D352971;LIFFRE L'Ariançon;35152;Liffré;-1.518155;48.208122
48.6502999990505, -2.0212599999999687;"{""coordinates"": [-2.02126, 48.6502999990505], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@SMAINT;D35ARCOM@SMAINT;Saint-Malo Intra-Muros;35288;Saint-Malo;-2.02126;48.6503
47.978989235057334, -2.6735561353925292;"{""coordinates"": [-2.673556135392529, 47.978989235057334], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.DREGLRRON:ST:ARCOM@LOUFOUR;DREGLRRON:ST:ARCOM@LOUFOUR;Loudéac La Fourchette;56160;Pleugriffet;-2.6735039;47.97913
48.58925211215012, -2.5523487588999476;"{""coordinates"": [-2.552348758899948, 48.58925211215012], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500865;D221500865;Parc Clémenceau n°115;22186;Pléneuf-Val-André;-2.5523489;48.589252
48.349429443771335, -1.860154740814329;"{""coordinates"": [-1.860154740814329, 48.349429443771335], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35SDOBOU2;D35SDOBOU2;Saint-Domineuc/ La Bouhourdais;35265;Saint-Domineuc;-1.86022;48.3494
48.10996310374304, -1.6852197725165128;"{""coordinates"": [-1.685219772516513, 48.10996310374304], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@RNPONT;D35ARCOM@RNPONT;Rennes Pont de Bretagne;35238;Rennes;-1.68519;48.11
47.86830464648721, -4.086642098670128;"{""coordinates"": [-4.086642098670128, 47.86830464648721], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500083;D29500083;Le Letty UCPA;29006;Bénodet;-4.0867114;47.868256
48.15687788617891, -1.6873211793829561;"{""coordinates"": [-1.687321179382956, 48.15687788617891], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D357887;D357887;ST-GREGOIRE Uttenreuth;35278;Saint-Grégoire;-1.687218;48.156956
47.59232661224399, -2.4019690841999894;"{""coordinates"": [-2.401969084199989, 47.59232661224399], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000331;D562000331;Parc Animalier Branféré;56077;Le Guerno;-2.4019692;47.592327
48.57985299166176, -4.316153166427911;"{""coordinates"": [-4.316153166427911, 48.57985299166176], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29502501;D29502501;Languengar;29124;Lesneven;-4.316082;48.579865
48.66583611323203, -2.9016780550918586;"{""coordinates"": [-2.901678055091859, 48.66583611323203], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500798;D221500798;Embt Keregal;22222;Plouha;-2.9016414;48.665787
48.64703484016402, -2.0041872395757268;"{""coordinates"": [-2.004187239575727, 48.64703484016402], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501143;D221501143;ST MALO Gare Quai B;35288;Saint-Malo;-2.004171;48.647034
48.63591939029118, -2.1194482374481116;"{""coordinates"": [-2.119448237448112, 48.63591939029118], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@SLULON;D35ARCOM@SLULON;Saint-Lunaire Longchamp;35287;Saint-Lunaire;-2.119453;48.635925
47.682228668917276, -2.448985404615304;"{""coordinates"": [-2.448985404615304, 47.682228668917276], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000604;D562000604;Bel Air (Questembert Communauté);56184;Questembert;-2.4488156;47.68218
48.03656950494665, -3.2712691373000626;"{""coordinates"": [-3.271269137300063, 48.03656950494665], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000595;D562000595;Place Corentin Le floch;56110;Lignol;-3.271269;48.036568
48.519936400595476, -3.7342215954461047;"{""coordinates"": [-3.734221595446105, 48.519936400595476], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504073;D29504073;Hôpital;29191;Plougonven;-3.73434;48.52009
48.860823333473576, -3.1016722118314832;"{""coordinates"": [-3.101672211831483, 48.860823333473576], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500693;D221500693;L'Armor;22195;Pleubian;-3.1016693;48.86081
48.56053929726547, -2.0078063024143273;"{""coordinates"": [-2.007806302414327, 48.56053929726547], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500366;D221500366;LANGROLAY La Benatais;22103;Langrolay-sur-Rance;-2.0077617;48.560543
47.636511186151886, -2.988693886347532;"{""coordinates"": [-2.988693886347532, 47.636511186151886], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000241;D562000241;CRAC'H_Rosnarho;56046;Crach;-2.988628;47.636658
48.02581909045934, -1.9346023827182408;"{""coordinates"": [-1.934602382718241, 48.02581909045934], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35STUBIEU1;D35STUBIEU1;St-Thurial/ Bieurouze;35319;Saint-Thurial;-1.93456;48.0258
48.178641951850935, -2.761607586046133;"{""coordinates"": [-2.761607586046133, 48.178641951850935], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500326;D221500326;Gare;22136;Loudéac;-2.761492;48.178593
48.45333729673892, -4.259402301260341;"{""coordinates"": [-4.259402301260341, 48.45333729673892], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29502171;D29502171;Gare Routière;29103;Landerneau;-4.259418;48.453365
